"0","Berlin","location","52.52437","13.41053"
"1","Berlingo","location","45.50298","10.04366"
"2","Berlingerode","location","51.45775","10.2384"
"3","Bernau bei Berlin","location","52.67982","13.58708"
"4","Berlin Tegel","airport","52.5548","13.28903"
"5","Berlin Schönefeld","airport","52.3887261","13.5180874"
"6","Berlin Spandau","station","52.53447","13.19753"
"7","Berlin Hbf","station","52.525589","13.369548"
